objectid,year,agency,unit_id,fire_name,local_incident_number,alarm_date,containment_date,cause,collection_method,management_objective,gis_calculated_acres,irwin_id,shape_area,shape_length,days_to_contain
1,2023,CDF,SKU,WHITWORTH,00004808,,,5,1,1,5.729125,{7985848C-0AC2-4BA4-8F0E-29F778652E61},41407.83984375,1247.16603398886,
2,2023,LRA,BTU,KAISER,00010225,,,5,1,1,13.60238,{43EBCC88-B3AC-48EB-8EF5-417FE0939CCF},93455.87890625,1285.51454971661,
3,2023,CDF,AEU,JACKSON,00017640,,,2,1,1,27.81446,{B64E1355-BF1D-441A-95D0-BC1FBB93483B},183028.5,2697.58742917456,
4,2023,CDF,AEU,CARBON,00018821,,,9,1,1,58.76023,{CB41DB0A-E4B1-489D-A4EA-738F2CD6DB3B},388221.953125,2548.73877855158,
5,2023,CDF,AEU,LIBERTY,00018876,,,14,1,1,70.979,{F83F70A4-07A7-40B8-BD51-10CCC1C30D63},466456.0078125,5106.93652582734,
6,2023,CDF,AEU,CLAY,00016263,,,14,1,1,28.63791,{428149C3-A93B-4B17-A22B-60D73AC7D4D2},188516.984375,1941.50983446427,
7,2023,CDF,BEU,PAICINES,00004105,,,10,1,1,13.59313,{D8809C1A-6991-4432-B9FA-DA4F3D78AB49},85835.91796875,1776.4387595018,
8,2023,CDF,BEU,VINEYARD,00004022,,,14,1,1,391.3749,{FF1BDD2B-496B-4193-B641-37802DA7E8A7},2412533.5546875,10733.8123075036,
9,2023,CDF,BEU,SLACKS,00004156,,,10,1,1,40.41796,{8C3A9ADB-EB11-4000-B21A-6261BD8A74D4},249660.2734375,2407.16695678565,
10,2023,CDF,BEU,IDRIA,00004234,,,14,2,1,296.6445,{4D7CCAEE-1845-4A23-A09B-D33BEB748EEE},1860464.30078125,10225.7742396832,
11,2023,CDF,SHU,WONDER,00008060,,,6,1,1,161.8137,{EE0AD4B3-4F0A-4F46-93A8-6FC930B7DF69},1141858.58984375,7184.88555633728,
12,2023,CDF,SHU,PINE,00006202,,,2,1,1,11.91801,{5713E1F7-ABE7-4DEA-B04D-1EF87247B468},83320.984375,1388.85090723164,
13,2023,CDF,SHU,OLIVE,00008264,,,2,1,1,20.67,{7607B6CD-C0B3-40F8-BB68-2CEED3B441AB},143460.0078125,2544.54186805971,
14,2023,CDF,BTU,TURKEY,00014148,,,7,1,1,52.17383,{203888E8-5D22-4C40-9349-825708637CDC},354598.3046875,3866.55622041301,
15,2023,LRA,BTU,VIRGINIA,00011549,,,4,1,1,10.07201,{2381B3FE-68C0-4664-AA2A-CF830D6833B5},68524.96875,1209.30553410994,
16,2023,CDF,RRU,RABBIT,00102458,,,10,1,1,8354.776,{04F24B12-E13F-4C7E-80AF-C8AA1A4C8FAB},49193097.9453125,47639.7437077098,
17,2023,CDF,RRU,HIGHLAND,00102435,,,14,1,1,104.0207,{CDD1E559-3BBE-4680-A933-9694DD48BEA4},612635.0234375,3915.57257152357,
18,2023,CDF,RRU,RECHE,00102379,,,7,2,1,435.684,nan,2570257.99609375,8565.27516599609,
19,2023,CDF,RRU,GAVILAN,00103039,,,14,2,1,334.5828,{2EB6C428-B6F4-486F-9CA3-492F45EFBB30},1966205.47265625,7959.66657521688,
20,2023,LRA,RRU,RAMONA,00074508,,,2,1,1,337.9316,{92634986-F462-4277-ACAE-0062553E530D},1986003.47265625,7664.10111785175,
21,2023,LRA,BTU,CEMETERY,00015186,,,14,1,1,74.10231,{768B16BB-3B0F-450E-B61B-8263D9B3751F},502589.3828125,3982.26722140786,
22,2023,CDF,MEU,1-10,00009853,,,1,1,1,56.87772,{8EF2DA82-93EE-401C-BD4E-6E380CC7F09E},392924.71875,3555.76506096679,
23,2023,LRA,BTU,CANA,00017710,,,11,1,1,19.28816,{E5A728D8-40AF-47FA-8965-293D0877A8CE},132527.5546875,1574.848975552,
24,2023,CDF,AEU,MISTY,00028286,,,2,1,1,11.7,{C0A92C79-B606-4FE6-B750-5C29B3D408C4},77082.015625,1326.14840721991,
25,2023,CDF,RRU,HIGHLAND,00160976,,,9,7,1,2487.0,{A81913DF-822A-4ADB-A61F-A3B07B21FFB4},14121208.0507813,47327.1125758144,
26,2023,CDF,AEU,PLYMOUTH,00030204,,,5,1,1,11.1,{7A1560D1-88C1-4935-B99B-81AEDE5C298E},71774.98046875,1248.54278186756,
27,2023,CDF,BTU,WALL,00021557,,,7,1,1,11.12262,{B66D7631-2871-4981-BBCA-19A8C62F27FF},75606.7890625,1183.889292658,
28,2023,CCO,KRN,HOSTLY,23-19678,,,11,1,1,83.71268,{A792B00B-F8C7-49A6-AF59-9A4CF38266D7},512475.94921875,3523.40996548146,
29,2023,CCO,KRN,ADOBE,23-20044,,,14,1,1,5.948729,nan,36450.41796875,1312.57107632531,
30,2023,CCO,KRN,LAZY,23-21128,,,14,1,1,3.267727,nan,19948.7890625,742.667896509371,
31,2023,CCO,KRN,BITTER,23-21544,,,14,1,1,225.6406,{DA4CBDE1-2343-4C1C-9510-8D2DE169B7CD},1383222.34765625,5326.45543821856,
32,2023,CCO,KRN,LAVENDER ,23-21875,,,2,1,1,14.74279,{9C62D925-2E90-4E1D-894C-D9B42BDE3374},90465.5625,1800.28339730919,
33,2023,LRA,KRN,POND,23-22631,,,14,7,1,6.763345,nan,44627.17578125,1060.99837142796,
34,2023,CCO,KRN,ELK,23-23270,,,14,1,1,9.687215,{42200379-0E06-45C6-9088-08A4A864A1C3},58624.11328125,1374.36226100426,
35,2023,CCO,KRN,TOLL,23-23490,,,14,1,1,6.860587,{AD33BA43-3D1A-4058-ABDB-190663094691},41750.76171875,1105.91052052054,
36,2023,CCO,KRN,POINT,23-25671,,,2,1,1,4.915308,{15B30FD7-E1B9-43FE-9AEA-47971297B610},29805.7109375,907.303007096636,
37,2023,CCO,KRN,PENTLAND,23-25892,,,14,1,1,83.47556,{E7F412BC-CF01-4554-ABA6-CEF885F1C103},504927.51171875,4146.01597875623,
38,2023,CCO,KRN,LITTLE,23-26311,,,5,1,1,59.26785,{714280F7-556F-4D9C-87E5-DA30D20A82D1},363380.9921875,3161.21385528543,
39,2023,CCO,KRN,ELK,23-27131,,,11,1,1,5.666053,{0960091D-3CA7-4DBF-B15D-2F26832188F7},34513.80078125,1180.02780027584,
40,2023,CCO,KRN,TANK,23-28282,,,14,1,1,5.777378,{661E2ADE-9A60-4743-9FFF-52EFB2E700FB},35535.09375,1446.9448978274,
41,2023,CCO,KRN,FAMOSO,23-28727,,,14,1,1,6.419109,nan,39402.58203125,773.845044652949,
42,2023,CCO,KRN,LAST,23-28896,,,14,1,1,3.334712,{A2E2ED4D-ED33-4AEF-9532-40647417D2AC},20361.14453125,646.584897570341,
43,2023,CCO,KRN,POST,23-29421,,,14,1,1,5.966745,{946A8CB2-4F4E-4BB2-B2DE-E8AB99431480},36596.77734375,1362.92193236612,
44,2023,CCO,KRN,WATER,23-29476,,,14,1,1,7.961721,{7AB6162A-8A5E-4CB1-B31F-294D0FE55022},48856.96875,1201.87791796314,
45,2023,CCO,KRN,CHAMPAGNE,23-29961,,,11,1,1,107.8487,{87717210-BEED-4214-945C-3339EA5B6A47},651052.49609375,4648.68537232396,
46,2023,CCO,KRN,TRUCK,23-30046,,,14,1,1,17.15697,{E3765817-840C-4B2C-820D-03A62C5BC5D8},103697.05078125,2221.2211032266,
47,2023,CCO,KRN,ROUND,23-30473,,,14,1,1,536.0197,{B4242042-2EFE-435F-A36A-6B59D7A2024A},3290774.2578125,11616.3652403161,
48,2023,CCO,KRN,CANYON,23-30325,,,14,1,1,9.05986,{04116A59-A1EF-4D62-8C07-D5F7484601C3},54912.9453125,1875.04816244704,
49,2023,CCO,KRN,SOUTH 2,23-30565,,,14,1,1,9.613276,{EA3AF6CE-6390-462E-9905-5C95DAD0CB17},67641.21484375,1438.10278837926,
50,2023,CCO,KRN,TREE,23-30723,,,14,1,1,6.170191,{952FD679-0E1D-405D-B289-62F5AE6675B8},37428.29296875,1100.11406446195,
51,2023,CCO,KRN,BAKER,23-32167,,,14,1,1,3.72376,{C6901541-B7ED-428F-B109-75066492826A},22675.671875,1174.85848737343,
52,2023,CCO,KRN,MID,23-32474,,,14,1,1,4.990486,{EC3D71E4-55C4-4566-B195-F402B582523B},30309.01171875,777.184071121593,
53,2023,CCO,KRN,DISTRICT,23-31430,,,14,2,1,1043.665,{EA00B1B4-5871-4C87-AB80-9B68D5098CD0},6292144.94140625,12913.9059085782,
54,2023,CCO,KRN,BODFISH,23-33592,,,14,1,1,52.75753,{BC93D908-33C6-4BF5-BCB8-5177FE74CE83},321188.984375,2453.60466606071,
55,2023,CCO,KRN,SCODIE,23-35185,,,14,1,1,20.61374,{A10277F3-E477-4299-8F4D-949B40FC1AAE},126800.3203125,4049.18938777411,
56,2023,CCO,KRN,BEALE,23-35614,,,14,1,1,60.6251,{3D3FDB10-B268-4392-8947-1999CAF57F0C},368792.39453125,3734.17974082288,
57,2023,CCO,KRN,HABERKERN,23-35677,,,14,1,1,34.74714,{40701B4A-C535-4B6A-936E-8AFE71047C03},209238.98828125,3222.64980333255,
58,2023,CCO,KRN,COMANCHE,23-35813,,,14,1,1,4.387525,nan,26755.98828125,786.570330819241,
59,2023,CCO,KRN,EAST,23-35760,,,14,1,1,1291.166,{E3496E18-73E9-4C83-BA88-2A0805CC469E},7899533.1953125,15390.5216597692,
60,2023,CCO,KRN,EDMONSTON,23-36091,,,14,1,1,14.59014,{3BDFED3A-E5DA-4D4C-84CE-765472D01A87},88044.421875,1789.61277467236,
61,2023,CCO,KRN,ALMOND,23-36511,,,14,1,1,5228.871,{8BF47465-2934-439A-B5D2-36047256714F},32043957.1210938,45656.0660909036,
62,2023,CCO,KRN,BOULEVARD,23-36217,,,14,1,1,89.46474,{5C095992-285B-4E6C-BECE-98F8C8352C18},542043.421875,8956.07928963521,
63,2023,CCO,KRN,BRITE,23-37066,,,14,1,1,3.816716,{C6299ACC-E286-46A4-8392-EDCC4AFF337A},23131.67578125,712.314840154778,
64,2023,CCO,KRN,GENERAL,23-37712,,,1,1,1,16.05068,{6D4E368F-7B30-4316-9CB2-077EFA6DD14B},97481.0390625,1702.3947196682,
65,2023,CCO,KRN,TROTTER,23-37821,,,14,1,1,52.54716,{5C9F8E96-A816-4A3C-9D0B-E2E06DA19D88},318702.40234375,4868.13291235762,
66,2023,CCO,KRN,GROVE,23-37846,,,14,1,1,4.713907,{E778E8BA-2671-4F47-8EFE-EF943B989AA7},28567.82421875,1609.3463258167,
67,2023,CCO,KRN,BLACKWELL,23-38706,,,1,1,1,34.64903,nan,212358.31640625,2262.75029492936,
68,2023,CCO,KRN,SEMI,23-39887,,,10,1,1,4.015996,nan,24437.2109375,825.463446811665,
69,2023,CCO,KRN,DEN,23-40087,,,14,1,1,33.32077,{C59CE17C-F069-4646-8922-1ECA0149D8C1},205300.015625,2251.13933798717,
70,2023,CCO,KRN,ROLLING,23-41929,,,14,1,1,7.908133,{E7CF5300-9B71-4F92-A473-EAFC9CC96242},48110.3515625,1631.9377204392,
71,2023,CCO,KRN,TULE,23-42016,,,14,1,1,7.309518,{A379318A-CF63-458B-BAC2-3825426D025E},44897.9921875,924.004655341922,
72,2023,CCO,KRN,CALIENTE ,23-43040,,,14,1,1,55.02539,{6632FF31-80D4-4C28-9A79-7B7DD5C662A5},334837.2265625,3260.97691659367,
73,2023,CCO,KRN,FLAT,23-43755,,,14,1,1,10.37647,{8C0DEC8E-6ABE-43F3-9CB4-709F9BF85ADA},63111.26171875,1553.04377703671,
74,2023,CCO,KRN,TOWER ,23-43839,,,14,1,1,5.175606,{880D76D2-C731-4776-A10D-64D13D3C7E40},31535.8984375,1666.75188837585,
75,2023,CCO,KRN,POSO ,23-43936,,,14,1,1,5.002238,nan,30675.01171875,1041.26604286787,
76,2023,CCO,KRN,BLUE BARN ,23-44532,,,14,1,1,7.971368,{0DFB2415-2495-4F60-A8E4-B82F6CAEBF44},48879.41015625,1049.61124597768,
77,2023,CCO,KRN,CORNER,23-44583,,,14,1,1,6.430629,nan,39461.25390625,987.043563638193,
78,2023,CCO,KRN,ROCK,23-44588,,,14,1,1,13.71712,nan,82917.8359375,1781.1103614216,
79,2023,CCO,KRN,SKY,23-45999,,,14,1,1,4.440306,{44513543-1007-4350-93B0-79A41E38DE5D},27030.42578125,1277.93106273961,
80,2023,CCO,KRN,LIERLY,23-46196,,,14,1,1,3.030688,nan,18364.57421875,881.18766333832,
81,2023,CCO,KRN,ANNETTE,23-47880,,,14,1,1,5.226628,nan,32146.07421875,860.348696807882,
82,2023,CCO,KRN,CREEK,23-49122,,,14,1,1,6.315729,{8A0359A1-B813-4D5A-A8D5-8B8A71CC8877},38482.625,850.97167833716,
83,2023,CCO,KRN,SHERWOOD,23-49440,,,14,1,1,8.496378,{7239E5CC-0A48-456E-855D-9038A8AF7435},52123.60546875,1176.99143915499,
84,2023,CCO,KRN,CROCKER,23-49527,,,14,1,1,8.202892,{35623C45-C178-432E-92BC-7D1C3B6E02A1},49831.3046875,1154.94838622602,
85,2023,CCO,KRN,BRONZE,23-49619,,,14,1,1,5.487661,{86C611EC-6A8A-4994-95D1-CD54BEA04C06},33676.4765625,978.395090240878,
86,2023,CCO,KRN,KERN,23-50199,,,14,1,1,16.76435,{77089C2E-8905-487C-B382-A421850529D8},102302.58984375,1533.5443995333,
87,2023,CCO,KRN,LINE,23-51193,,,14,1,1,86.2767,{F64B92B5-871B-4906-ACDB-82655FFE5663},527799.0625,3885.53783423904,
88,2023,CCO,KRN,FIELD,23-51487,,,14,1,1,15.04139,{A7AABAEF-4DE5-4362-B8F3-87952820E4A3},92238.10546875,1413.35123886369,
89,2023,CCO,KRN,FANO,23-21349,,,14,6,1,3.00047,{2365547B-5F2C-4A37-A299-B5456E6FE3C7},46223.17578125,1389.53120265833,
90,2023,CCO,KRN,FANO 2,23-53238,,,14,1,1,3.433622,{B2275F14-C885-40A8-9733-912653A975FC},21001.1953125,568.788494578366,
91,2023,CCO,KRN,FRONT,23-46180,,,14,1,1,7.258909,{5938DB22-02DA-444C-85EB-6C285D19E7BD},44394.96875,1535.67978415336,
92,2023,CCO,KRN,HOLLOW,23-47784,,,14,1,1,13.32836,{712763BA-65AA-4524-B697-68714844620B},81629.73046875,1303.98165470329,
93,2023,CCO,SBC,PLANT,00011307,,,11,3,1,5761.521,{B31604C4-AC56-47F4-85A8-222B39107AC5},34771286.984375,52880.1507570325,
94,2023,CCO,SBC,SUN,00015577,,,2,3,1,211.192,{53134DE6-AD4A-4843-9F35-3276E7106692},1263209.25390625,6407.74367740057,
95,2023,CCO,SBC,GRADE,00013773,,,10,1,1,95.66613,{42D25FFF-E9DE-4D2F-9B14-F112D6D3BF8D},572195.2265625,5628.22411344363,
96,2023,CDF,NEU,SCOTT,00016726,,,14,1,1,94.27705,{40E88DAD-E4EC-4A26-A8FA-56CDB5557DBD},729429.28515625,4916.56253133477,
97,2023,CDF,NEU,PEOIRA,00017574,,,14,1,1,58.00984,{10FD75CF-6514-4448-8FAE-5083F709B7DB},392011.09375,2779.40065569763,
98,2023,CDF,NEU,SICARD,00015137,,,11,1,1,13.73,{E56CA576-CBD5-486D-8DC7-1F88691EAEC},91543.4140625,1820.06844997656,
99,2023,CCO,KRN,TULE 2,23-55247,,,14,1,1,3.12156,nan,18763.0078125,975.070567845394,
100,2023,CCO,KRN,RANCHO,23-55468,,,14,1,1,2.2649,{AD1383E2-9B3F-4291-991A-2862F13A450B},13228.0,666.591320641136,
101,2023,CCO,KRN,PINE,23-57131,,,14,1,1,169.973,{BE702B12-1EFB-4F22-82BA-D20CD47B29C1},1041987.03125,5519.3161410333,
102,2023,CDF,MMU,WHISKEY,00014460,,,2,1,1,83.0,{8430364A-761D-4B52-88B9-DE5B8AE4C36F},528590.0625,3723.28800078224,
103,2023,CDF,BEU,WILLIAMS,00004739,,,9,7,1,4.5,{85F6F07A-0EAA-4057-97AE-DFDFEBA06CAF},27820.04296875,740.678816912956,
104,2023,CCO,VNC,TRAIL,00063257,,,14,3,1,1.655345,{1D0D7BB8-5E56-4EE8-A258-F566D3EF2EC4},9795.05078125,785.699282226667,
105,2023,LRA,VNC,VILLANOVA,00056809,,,14,1,1,13.01236,{97076C25-D533-478C-9D51-DD91615CD323},77596.91015625,1574.08464907446,
106,2023,CCO,VNC,SOUTH,00105733,,,14,3,1,2715.4,{4836B1E0-E9E7-4B89-8DFC-1D1029F53B72},16143487.7421875,46856.1700438683,
107,2023,CDF,RRU,ROCK,00116806,,,14,1,1,531.0221,{CC12CC5A-906C-47FD-9F49-4F0BC4638BEF},3125684.390625,9266.77327412283,
108,2023,CDF,RRU,BONNY,00109851,,,14,1,1,2323.106,{BD1CCE01-5E88-4ED7-A146-5FBBC6524C8F},13545480.4726563,30310.0484777186,
109,2023,CDF,BEU,WILLIAMS,00005844,,,9,7,1,53.9,{C70FCB87-A1D6-4BC6-A2B9-C82B7113B932},334473.51171875,4810.72489922024,
110,2023,LRA,NEU,TANWOODS,00020208,,,14,4,1,9.532271,{6D04EE7F-EB5E-45EB-AFF3-BCE4ABCE1994},63489.2890625,1306.55259728356,
111,2023,LRA,NEU,FOOTHILLS,00022526,,,14,1,1,25.0,{E110EF86-4554-4F3D-A292-E636EA6FEC36},166830.6015625,2057.58620182663,
112,2023,LRA,NEU,BREWER,00019665,,,14,1,1,11.63,{D426CF14-A79F-43CA-B035-04158E4CB3AC},72340.890625,1438.59412432952,
113,2023,LRA,NEU,ERIC,00016161,,,14,1,1,44.0,{FF7142C6-CEE2-4236-A515-AF26A262FA96},297833.75,3808.76400735729,
114,2023,CDF,NEU,SPENCEVILLE,00021414,,,2,1,1,10.8,{F5E94680-A70F-4CA4-9D81-DAA20FA57E66},71087.25,1270.33273404977,
115,2023,CDF,NEU,DOOLITTLE,00021981,,,14,1,1,16.6,{A475E242-39EB-481A-ACC0-A8E4F26B46A5},16168.75390625,721.610566392573,
116,2023,CDF,TCU,GANN,00008603,,,14,1,1,106.0,{0B9F95C3-26E6-4F2F-8E94-653E5541E771},689467.51953125,5341.28042082055,
117,2023,CDF,MEU,HAZEL,00010484,,,15,1,1,0.46,{D04DF791-457F-4A36-A8DD-7C1F340DEC96},3168.8984375,219.283288108808,
118,2023,CDF,SLU,BITTER,00012683,,,10,1,1,695.1143,{5DBB1F90-362D-4EAC-BED4-7B0B16D17FAD},4249745.02734375,11155.5890220942,
119,2023,CDF,SLU,BEAR,00015095,,,4,1,1,0.3076231,{4463778C-5163-45CE-BB63-79BB38FC5E24},1873.50390625,190.523100788468,
120,2023,CDF,SLU,HILL,00016517,,,10,1,1,6.247237,{77D0E418-0CBA-459D-BED6-34D1D299137E},38117.00390625,853.701855187138,
121,2023,CDF,SLU,ESTRELLA,00008889,,,3,1,1,1.184759,{C8117C94-9A64-47AD-A9F7-87FECB56D5F2},7278.50390625,386.276613674756,
122,2023,CDF,SLU,GREEN,00015639,,,11,1,1,247.2606,{1B99CEDB-D855-47F4-960F-A154D95E7C5D},1514331.9921875,6555.8168957239,
123,2023,CDF,SLU,SHORES,00013684,,,2,1,1,14.83849,{31F00451-92F1-4356-AEE2-EB85A7521161},91436.52734375,1464.35897895176,
124,2023,CDF,SLU,DIABLO,00016998,,,2,1,1,25.73028,{077F0AFE-341F-4F2D-A366-5EDB6EDE0BC7},156659.0078125,2154.1185563484,
125,2023,CDF,SLU,SUMMIT,00017623,,,14,1,1,6.738468,{3B961739-B383-4C2B-BFF5-497B6AC68541},40989.48046875,1206.44721854531,
126,2023,CDF,SLU,BRIDGE,00017715,,,4,1,1,1.519355,{55530C04-14C9-48E3-941A-77BAFF91390F},9182.49609375,512.688216096683,
127,2023,CDF,SLU,ROCK,00008396,,,2,1,1,3.37118,{E4C68435-240A-4035-96F0-A7E5276BBEC4},20769.66015625,606.999561211191,
128,2023,CDF,SLU,ALMOND,00017791,,,2,1,1,31.01117,{D21FA0DB-212B-4027-B44C-33157E40DFE5},189929.98828125,1938.03933584048,
129,2023,CDF,SLU,VALLEY,00018197,,,2,1,1,9.52999,{791DDADA-9E86-43AD-BAD6-FC1400621400},58357.01953125,2106.67321306964,
130,2023,LRA,SLU,JARDINE,00008495,,,2,1,1,1.171606,{C56D2ABF-5BEE-4F2D-BFF2-F1AA44A1A367},7202.01171875,343.132091643185,
131,2023,CDF,SLU,GREEN,00017614,,,14,1,1,4.502316,{4826B974-42EA-46DB-999A-DB2461091090},27563.9921875,771.227189132719,
132,2023,CDF,SLU,NEAL,00009168,,,2,1,1,2.214254,{50189245-807E-49AC-9EBD-F4E4A962E025},13574.5,469.62829786856,
133,2023,CDF,SLU,BOULDER,00009859,,,11,1,1,70.79186,{FF78B59C-F425-4889-B54C-E99CA96E7CC4},431352.00390625,3756.05651986448,
134,2023,LRA,SLU,JARDINE,00010924,,,3,1,1,2.151939,{CCCD22F6-4C46-4754-8764-6413EF6CA0C4},13226.49609375,629.646022269677,
135,2023,CDF,SLU,FRANKLIN,00019633,,,14,1,1,1.008626,{0A11652E-AB0C-448D-BCC1-93F0F8A51E6D},6185.5,321.137146668691,
136,2023,LRA,SLU,OAK,00011433,,,5,1,1,0.1144218,{576369CA-F356-4EB4-AC9B-766D959740D6},703.0,158.40083660076,
137,2023,CDF,SLU,SHELL,00011767,,,10,1,1,114.7964,{85158F2D-9906-47B2-B22B-D51BDBE8FEE0},701703.50390625,4835.69047899195,
138,2023,CDF,SLU,WILLOW,00012736,,,10,1,1,5.272589,{046A0C1C-1893-4B4D-9389-185772A83B2E},32346.00390625,802.641273290647,
139,2023,CDF,SLU,CATTLE,00012735,,,9,1,1,0.8171355,{A5BE7193-E47B-40FD-B1C0-552C1DD2F77C},4988.0,328.36028649412,
140,2023,CDF,SLU,TOPAZ,00012836,,,11,1,1,5.66248,{50F97620-45D8-4F4E-A688-58F3D361A279},34542.0,744.285463131898,
141,2023,CDF,SLU,WINEMAN,00013297,,,7,1,1,1.682815,{BA204C4C-FF91-4FE7-B38B-1F125745643B},10172.0,386.111235647662,
142,2023,CDF,SLU,PANZA,00019637,,,10,1,1,3.066564,{F47355A8-870F-44DF-9945-6803C4360454},18742.50390625,907.434434884294,
143,2023,CDF,SLU,CREST,00013383,,,5,1,1,2.421318,{A060C929-3A9C-44A9-8722-46BCE872ECA1},14898.50390625,648.96867144567,
144,2023,CDF,SLU,BITTER,00013618,,,10,1,1,0.7515653,{9FC7630E-2570-4CE1-8A54-BB1B0ED36554},4612.0,318.676944026895,
145,2023,CDF,SLU,TOWNSITE,00014150,,,10,1,1,8.690822,{6E812EAA-FB1E-45C7-9253-A1DAB7A8E3E6},52689.99609375,985.480693147847,
146,2023,CDF,SLU,58 CARRIZO,00019643,,,10,1,1,13.34245,{093B132D-254E-4EBF-AA7C-846038CB8A12},81375.9921875,1892.44662651592,
147,2023,CDF,SLU,GENESEO,00014116,,,14,1,1,1.702128,{B51FDB27-A233-41E8-9C7E-3056EE7E9C2C},10438.49609375,456.577777189102,
148,2023,CDF,SLU,MOSS,00014291,,,2,1,1,1.899265,{65164642-11F5-4103-BF69-2AEEC41C38FC},11630.0,545.595831444982,
149,2023,CDF,SLU,RANGE,00014489,,,5,1,1,16.14059,{684BA8D4-0B9F-4966-835E-71212226F990},98402.0234375,1327.04461386716,
150,2023,CDF,LNU,SNELL,00011182,,,7,1,1,97.11945,{4001FB30-1B89-4885-B7E6-70CEBF2D9274},646290.57421875,4809.99465826304,
151,2023,CDF,MEU,AIRPORT,00012794,,,10,1,1,0.14,nan,1003.76171875,123.130150369486,
152,2023,CDF,SDU,WILDCAT 2,00014677,,,14,1,1,12.2,{A2323948-51EB-4775-B0AF-E970E38CF4D7},70128.078125,1661.04043872603,
153,2023,CDF,SDU,COYOTE,00018943,,,14,7,1,466.5,{438A9F99-1D44-4FB8-AB9E-1DDCC9D58672},2670139.78515625,8337.21972888518,
154,2023,CDF,SDU,COUSER 2,00016719,,,14,1,1,3.5,{3AFFA468-3F37-4CBF-BB4B-BDB1D292666C},20184.62890625,649.536383504187,
155,2023,CDF,SDU,BLACKWOOD,00014650,,,14,1,1,37.4,{0B64D800-A296-4561-9D48-B476379E0312},214332.078125,3972.24847104523,
156,2023,LRA,SHU,RUBY,00010259,,,2,1,1,2.58,{FC4A72D8-D4B0-4680-AA88-CEF4E390DDB3},19125.0,804.219012835874,
157,2023,CDF,SHU,DURA,00007498,,,2,1,1,28.96,{5243F457-1F01-4876-9114-22BF1E022E54},202759.47265625,2702.15051105932,
158,2023,CDF,SDU,BORDER 14,00014727,,,14,6,1,61.07,{D12F1B6A-0B75-4A96-AACD-4D262CCA9CA6},346823.5234375,3925.77136783633,
159,2023,CDF,SDU,BORDER 30,00022649,,,14,1,1,10.51,{C3DE647F-E250-44E3-848D-067895DEB575},59312.51171875,1135.85868933477,
160,2023,CDF,SDU,BORDER 13,00014586,,,14,6,1,17.95,{66D809EE-3D77-4E2F-B60E-4BD1FBD314CE},1123003.90234375,7290.32580898211,
161,2023,CDF,TCU,GREY,00010014,,,2,1,1,11.02161,{C9DE080A-5DB9-4E4D-B05D-F20098286CF2},71534.49609375,1156.6235552905,
162,2023,CDF,BDU,MAIN,00004512,,,11,1,1,54.54718,{16315364-C684-49FF-9B91-1C40E7B1D128},350211.78515625,2757.57893534511,
163,2023,CDF,HUU,PECWAN,00007821,,,14,6,1,12.89246,{68C22ED2-44CA-458A-8C77-0EB10E6515D5},92530.3984375,1441.22720434884,
164,2023,CDF,TUU,PARK,00000383,,,10,1,1,0.06657419,{094BECE2-D86D-4E09-AA89-696151D261F8},414.765625,76.7878100644667,
165,2023,CDF,TUU,ROBIN,00000589,,,7,3,1,138.2095,{DAAC275F-1F95-4B1F-A916-1DEAC6E24B27},867423.91796875,6351.43918016014,
166,2023,LRA,RRU,JOHNSON,00073504,,,14,1,1,37.28043,{0F275876-8434-4725-BB09-93F0BCA1924F},217341.49609375,2617.17291736548,
167,2023,CDF,RRU,ALMOND,00113007,,,14,1,1,14.43536,{7D2F97E7-A2CB-43AE-999B-A62D22C31A48},575218.65625,5876.39431740366,
168,2023,CDF,RRU,HOMESTEAD,00124491,,,14,1,1,8.132599,{C4ED37E6-67B2-4B00-92BC-4E99346930AB},47442.8671875,1386.47984668566,
169,2023,LRA,RRU,BROADWAY,00011111,,,14,1,1,1.601149,nan,9430.55859375,498.032123691391,
170,2023,LRA,RRU,66,00070760,,,14,1,1,127.0,{F45D9FD7-1419-44A5-9118-B3A18C93F1CB},731642.03515625,5497.280080166,
171,2023,CDF,BEU,VEGA,00005081,,,7,7,1,1.98,{8A835BB5-6602-407C-BCFE-83EB8040CF6A},12562.90234375,905.068292808705,
172,2023,CDF,FKU,ORANGE,00010650,,,2,1,1,108.165,{89C22F99-19BF-49B9-AF32-B8CC1BD73F14},677867.484375,5071.8883754557,
173,2023,CDF,FKU,RODEO,00011246,,,7,1,1,20.1026,{DE7DB19C-B95D-45F5-854E-C4353E3C4B00},124507.4765625,1543.88631915266,
174,2023,CDF,FKU,STRIKE,00016474,,,1,1,1,19.1282,{F36BE409-167F-45E1-994B-292711E6CF91},120709.50390625,1950.54802825913,
175,2023,CDF,FKU,GEORGE,00011164,,,10,1,1,25.7406,{0277696B-F710-49E3-98CA-6DA6B2E05941},162906.51953125,2143.02682494769,
176,2023,CDF,FKU,CRANE,00012588,,,2,1,1,23.8874,{9B04172C-FE52-4F49-A23D-A5C582414C49},147926.99609375,2307.82862964882,
177,2023,CDF,FKU,PECK,00014123,,,10,1,1,14.3992,{05E84F9F-99B8-46BB-9291-1E1955A3AEB2},90620.97265625,1396.62422271891,
178,2023,CDF,FKU,BRIDGE,00013525,,,10,1,1,30.3938,{6D2BF9C9-BE22-48F6-A503-0E0167AAFB75},192113.9765625,1855.00598532389,
